seed,task_type,host_count,shrink,algo,active,migr,time
0,-4,80,False,PyVPSolver,0.5,0.9939189189189189,0.3959670066833496
0,-4,80,False,PyVPSolver + migopt,0.5,0.5912162162162162,1.3900012969970703
1,-4,80,False,Initial,1.0,0.0,7.152557373046875e-07
1,-4,80,False,Initial + migopt,1.0,0.0,0.9995684623718262
1,-4,80,False,FirstFitDecreasing,0.5,0.9878378378378379,0.010952472686767578
1,-4,80,False,FirstFitDecreasing + migopt,0.5,0.7587837837837837,0.5865998268127441
1,-4,80,False,Sercon,0.5125,0.22432432432432434,0.04547381401062012
1,-4,80,False,Sercon + migopt,0.5125,0.22432432432432434,0.6296803951263428
1,-4,80,False,PyVPSolver,0.5,0.9939189189189189,0.4296839237213135
1,-4,80,False,PyVPSolver + migopt,0.5,0.5912162162162162,1.1435067653656006
2,-4,80,False,Initial,1.0,0.0,1.1920928955078125e-06
2,-4,80,False,Initial + migopt,1.0,0.0,0.9067418575286865
2,-4,80,False,FirstFitDecreasing,0.5,0.9878378378378379,0.022465944290161133
2,-4,80,False,FirstFitDecreasing + migopt,0.5,0.7587837837837837,0.7156772613525391
2,-4,80,False,Sercon,0.5125,0.22432432432432434,0.02839946746826172
2,-4,80,False,Sercon + migopt,0.5125,0.22432432432432434,0.7990996837615967
2,-4,80,False,PyVPSolver,0.5,0.9939189189189189,0.4115569591522217
2,-4,80,False,PyVPSolver + migopt,0.5,0.5912162162162162,1.1449391841888428
3,-4,80,False,Initial,1.0,0.0,1.6689300537109375e-06
3,-4,80,False,Initial + migopt,1.0,0.0,0.8432216644287109
3,-4,80,False,FirstFitDecreasing,0.5,0.9878378378378379,0.010450363159179688
3,-4,80,False,FirstFitDecreasing + migopt,0.5,0.7587837837837837,0.6563510894775391
3,-4,80,False,Sercon,0.5125,0.22432432432432434,0.04907488822937012
3,-4,80,False,Sercon + migopt,0.5125,0.22432432432432434,0.649545431137085
3,-4,80,False,PyVPSolver,0.5,0.9939189189189189,0.39185142517089844
3,-4,80,False,PyVPSolver + migopt,0.5,0.5912162162162162,0.8406057357788086
4,-4,80,False,Initial,1.0,0.0,9.5367431640625e-07
4,-4,80,False,Initial + migopt,1.0,0.0,0.6278977394104004
4,-4,80,False,FirstFitDecreasing,0.5,0.9878378378378379,0.009294271469116211
4,-4,80,False,FirstFitDecreasing + migopt,0.5,0.7587837837837837,0.47870683670043945
4,-4,80,False,Sercon,0.5125,0.22432432432432434,0.025794267654418945
4,-4,80,False,Sercon + migopt,0.5125,0.22432432432432434,0.48950815200805664
4,-4,80,False,PyVPSolver,0.5,0.9939189189189189,0.598630428314209
4,-4,80,False,PyVPSolver + migopt,0.5,0.5912162162162162,1.0633068084716797
0,-3,10,False,Initial,1.0,0.0,9.5367431640625e-07
0,-3,10,False,Initial + migopt,1.0,0.0,0.04001951217651367
0,-3,10,False,FirstFitDecreasing,0.5,0.918918918918919,0.0026595592498779297
0,-3,10,False,FirstFitDecreasing + migopt,0.5,0.7081081081081081,0.06005406379699707
0,-3,10,False,Sercon,0.5,0.32432432432432434,0.0036497116088867188
0,-3,10,False,Sercon + migopt,0.5,0.32432432432432434,0.034687042236328125
0,-3,10,False,PyVPSolver,0.5,0.9297297297297298,0.5940942764282227
0,-3,10,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.608811616897583
1,-3,10,False,Initial,1.0,0.0,7.152557373046875e-07
